Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00     263/676872716     write_term [120]
                0.00    0.00   11425/676872716     fill_in_op_data [126]
                0.00    0.00   25655/676872716     is_symbol [108]
                6.93    0.00 676835057/676872716     str_to_sn [11]
[12]    29.6    6.93    0.00 676872716         str_ident [12]
-----------------------------------------------
                0.10    3.30 2069334/2069334     proc_gen [6]
[13]    14.6    0.10    3.30 2069334         forward_subsume [13]
                0.01    2.56 2069333/2069333     fs_retrieve [15]
                0.36    0.00 2069334/4256836     free_context [22]
                0.34    0.00 2049117/2049117     canc_fs_pos [28]
                0.02    0.00 2049117/2049117     map_rest [77]
                0.01    0.00 2049117/2179478     num_literals [90]
                0.00    0.00 2049117/4153293     clear_subst_1 [103]
                0.00    0.00 2069334/4256840     get_context [163]
                0.00    0.00 2049117/2049117     literal_number [177]
                0.00    0.00 2049117/2069390     multi_justifications [172]
-----------------------------------------------
                0.00    0.00      21/33144313     mark_literal [145]
                1.29    0.00 16521418/33144313     dollar_contract [10]
                1.30    0.00 16622874/33144313     demod <cycle 2> [9]
[14]    11.1    2.59    0.00 33144313         sn_to_ec [14]
-----------------------------------------------
                0.01    2.56 2069333/2069333     forward_subsume [13]
[15]    11.0    0.01    2.56 2069333         fs_retrieve [15]
                2.51    0.03 2069333/2069333     is_retrieve [16]
                0.02    0.00 2049117/2049117     get_fsub_pos [74]
-----------------------------------------------
                2.51    0.03 2069333/2069333     fs_retrieve [15]
[16]    10.9    2.51    0.03 2069333         is_retrieve [16]
                0.03    0.00 8190306/8190306     get_is_pos [70]
                0.00    0.00 6108789/6108789     free_is_pos [169]
-----------------------------------------------
                0.00    2.54    8642/8642        main [1]
[17]    10.9    0.00    2.54    8642         extract_given_clause [17]
                0.00    2.54    8642/8642        find_given_clause [18]
                0.00    0.00    8642/8643        rem_from_list [195]
-----------------------------------------------
                0.00    2.54    8642/8642        extract_given_clause [17]
[18]    10.9    0.00    2.54    8642         find_given_clause [18]
                1.33    0.00    8642/8642        find_lightest_cl [19]
                0.06    1.15    4321/4321        find_lightest_geo_child [20]
-----------------------------------------------
                1.33    0.00    8642/8642        find_given_clause [18]
[19]     5.7    1.33    0.00    8642         find_lightest_cl [19]
-----------------------------------------------
                0.06    1.15    4321/4321        find_given_clause [18]
[20]     5.2    0.06    1.15    4321         find_lightest_geo_child [20]
